Название,Цена,Ссылка,Описание,Просмотров,Дата публикации,Продавец,Адрес
Трубы металлические,700,https://www.avito.ru/sterlitamak/remont_i_stroitelstvo/truby_metallicheskie_2972847193,"Трубы металлические длина 130 см, диаметр 160 мм, толщина 3 мм. Трубы находятся за городом 15 км в сторону Куганака. Цена за шт, в наличии около 30 шт.",811,вчера в 22:58,Частное лицо,"Республика Башкортостан, Стерлитамак"
Трубы системы джокер,50,https://www.avito.ru/svobody/remont_i_stroitelstvo/truby_sistemy_dzhoker_3512016442,Трубы 95 см +-1см. Диаметр трубы 25мм. Количество: много.,83,вчера в 22:58,Частное лицо,"Ставропольский край, г.о. Пятигорск, пос. Свободы"
Труба бу 1020,40000,https://www.avito.ru/talinka/remont_i_stroitelstvo/truba_bu_1020_2789563638,"- Труба 1020, стенка 14 +. Отдаём по 12 стенке, прямошёвка, нефть, Хмао, монтажный шов. 47 000. С Ндс. Г. Салым. - Труба 1220, стенка 12, прямошёвка, нефть, без поперечек. 43 000. С Ндс. Хмао. Пыть-ях. - Труба 530, стенка 8, нефть, прямошёвка. Труба 529 стенка 8, нефть, чешка, без поперечек. 50 000. С Ндс. Г. Кузнецк. - Труба 1220, газ, предочистка, без изоляции, стенка 14 — 18, прямошёвка. 44 000. С Ндс. Г. Новоузенск. - Труба 720, прямошёвка, газ, стенка 8 — 9,5 39 000. С Ндс. Г. Красноярск. - Труба 720, Шфло, стенка 10, отдаём по 9,5 чешка. 39 000. С Ндс. Г. Туртоз, Пыть — Ях. - Труба 1020, стенка 11 — 12, прямошёвка, нефть. 52 000. С Ндс. Г. Демьянка.",96,вчера в 22:53,Частное лицо,Тюменская область
Труба,0,https://www.avito.ru/sharanga/remont_i_stroitelstvo/truba_1962880979,"Продам трубы. Длина-5м, диаметр-300мм. (В наличии 4 трубы). Труба: длина- 4,5 м, диаметр 200 мм, толщина 5 мм.",0,вчера в 22:41,Частное лицо,"Нижегородская область, Шарангский р-н, пос. городского типа Шаранга"
"Рабица сетка бу, трубы разные",6000,https://www.avito.ru/simferopol/remont_i_stroitelstvo/rabitsa_setka_bu_truby_raznye_3502932797,"Сетка высота 1.5 м, толщина проволоки 2.5, один рулон ячейка 3*3, второй рулон 4*4, общая длина 35-40 метров 6000 за оба. Находится в Марьино ст ветеран. Также продам две новые оцинкованные трубы 150 по 6 м. 6000 за штуку. 90 труба 3 шт по 6 м по 450 за метр.",57,вчера в 22:21,Частное лицо,"Республика Крым, Симферопольский р-н, Перовское сельское поселение, садоводческое товарищество Ветеран"
Труба железная бу,2600,https://www.avito.ru/dolgoprudnyy/remont_i_stroitelstvo/truba_zheleznaya_bu_2671910061,"Продаю железные трубы(17шт.)бу, размеры на фото. Цена 2600 за штуку. Самовывоз. Долгопрудный.",734,вчера в 21:48,Частное лицо,"Московская область, Долгопрудный"
Фермы из трубы 1/2 дюйма б.у. 6 шт,10000,https://www.avito.ru/taganrog/remont_i_stroitelstvo/fermy_iz_truby_12_dyuyma_b.u._6_sht_3495474703,"Металлические фермы из трубы 1/2 дюйма длиной 4.2 метра. Изготовлены из гостовских труб СССР. В наличии 6 штук. Состояние хорошее, требуют только окраски.",5,вчера в 21:37,Частное лицо,"Ростовская область, Таганрог"
Трубы металлические,5000,https://www.avito.ru/labinsk/remont_i_stroitelstvo/truby_metallicheskie_3427280577,"3 трубы металические б/у, в отличном состоянии. Стояли под навесом, поэтому как новые. Длина- 5,2м. 5,4м. 6,5м. Диаметр 100 мм Стоимость каждой 5000 рублей.",20,вчера в 21:36,Частное лицо,"Краснодарский край, Лабинский р-н, Лабинское городское поселение, Лабинск"
Профильная труба,400,https://www.avito.ru/kursk/remont_i_stroitelstvo/profilnaya_truba_3635499483,Продам трубы размер 150х2.,73,вчера в 21:28,Частное лицо,"Курская область, Курск"
Трубы бу,40,https://www.avito.ru/lysva/remont_i_stroitelstvo/truby_bu_2414217917,"Двутавр 300 3.5 м 4 шт. Двутавр 160 2.35. Уголок 50 мм длина до 5 метров. Можно посмотреть в любое время. Уголок 100 мм. Трубы диам. 130 тс 2мм. Трубы толстостенные 5мм диам 130 длина 2.5 метр. Бочки из под масла 200 л. Режем в любой размер от 2.5 резка бесплатно, Менее 2.5 м один рез 50 рублей по предварительной заявке. И многие небольшие фрагменты труб и прочего железа. Позвони и спроси, возможно мы найдём что тебе нужно. Приём лома за полистилом, поворот с дороги Революции 64 и далее вдоль бетонного забора 500 метров. Ооо илан.",7136,вчера в 21:26,Частное лицо,"Пермский край, Лысьвенский г.о., Лысьва"
