Название,Цена,Ссылка,Описание,Просмотров,Дата публикации,Продавец,Адрес
Трубы асбестовые и кирпич,500,https://www.avito.ru/topki/remont_i_stroitelstvo/truby_asbestovye_i_kirpich_3304967430,"Продам трубы, за каждую по 500р, 1шт размер диаметр 14см длина 1 метр, 2 шт размер диаметр 9см длина 1, 5 метра и кирпич б/у 270шт по 5 р и половинки по 3р.",33,сегодня в 09:45,Частное лицо,"Кемеровская область, Топкинский муниципальный округ, Топки"
Продам б/у металл. трубу 220 мм толщина 8-10 мм,35,https://www.avito.ru/krasnoyarsk/remont_i_stroitelstvo/prodam_bu_metall._trubu_220_mm_tolschina_8-10_mm_3079923464,"Труба металлическая целая длины 1.8м, 2.15м, 2.8м, 3.05м.",104,сегодня в 09:19,Частное лицо,"Красноярский край, Красноярск"
Трубы металлические бу для забора,170,https://www.avito.ru/engels/remont_i_stroitelstvo/truby_metallicheskie_bu_dlya_zabora_3292309503,"Труба 48 по 6м,170р метр, стенка 3мм. Вся труба ровная. Подойдет под водопровод. Есть 57и76.",3756,26 октября в 00:35,Частное лицо,"Саратовская область, Энгельсский р-н, Энгельс"
Бу швелера,100,https://www.avito.ru/yalutorovsk/remont_i_stroitelstvo/bu_shvelera_3250228769,"Уголки, трубы, швеллера бу в наличии разные размеры.",669,сегодня в 11:16,Частное лицо,"Тюменская область, Ялуторовск"
"Труба диаметр 76, толщина стенки 3 мм",1700,https://www.avito.ru/rostov-na-donu/remont_i_stroitelstvo/truba_diametr_76_tolschina_stenki_3_mm_3729777610,"Трубы диаметр 76, толщина стенки 3 мм. Кол-во — 2 трубы по 3 м и 2 трубы по 1 м. Отдам все за 1700 р.",0,сегодня в 11:30,Частное лицо,"Ростовская область, Ростов-на-Дону"
Труба 325 диаметр,3000,https://www.avito.ru/yuzhno-sahalinsk/remont_i_stroitelstvo/truba_325_diametr_3093423089,Цена 3000 за метр.,27,сегодня в 11:29,Частное лицо,Сахалинская область
"Труба 325мм,стенка 5мм",1500,https://www.avito.ru/egorlykskaya/remont_i_stroitelstvo/truba_325mmstenka_5mm_2573876062,Труба 325мм. Стенка5мм. В битумной изоляции. Б/у.20 метров разными кусками 6м. До 12м.,1225,сегодня в 11:35,Частное лицо,"Ростовская область, Егорлыкский р-н, станица Егорлыкская"
"Металл, трубы, швеллер и т. Д",50000,https://www.avito.ru/saha_yakutiya_mirnyy/remont_i_stroitelstvo/metall_truby_shveller_i_t._d_3369507643,"Тубы, швеллер, не ржавое.",5,сегодня в 11:35,Частное лицо,"Республика Саха (Якутия), Мирнинский муниципальный р-н, Мирный"
Труба бу,100,https://www.avito.ru/surgut/remont_i_stroitelstvo/truba_bu_3521237267,"Труба Б/У в Сургуте. Диаметры, Оплата наличными, без нал с ндс. 114х7-8. 168х10-13. 168х16. 273х10. 720х8. 720х9-10. 720х12. 820х9-10. Точные цены на каждый вид трубы уточняйте по теблефону.",0,сегодня в 11:34,Частное лицо,"Тюменская область, Сургут"
Труба металлическая,35000,https://www.avito.ru/tomsk/remont_i_stroitelstvo/truba_metallicheskaya_3414954509,"Продам металлические трубы в большом количестве. Цена:1020 мм — 35000 руб, 1220 мм — 40000 руб. Все вопросы по телефону.",125,сегодня в 11:32,Частное лицо,"Томская область, Томск"
"Трубы 530/8,426/8/16/20,325/8/9, и т.д",40000,https://www.avito.ru/dzerzhinsk/remont_i_stroitelstvo/truby_53084268162032589_i_t.d_2264913848,"Трубы 820/8,97208,9, 530/8,426/8/16/20,325/8/9, и т. Д.",1275,сегодня в 11:45,Частное лицо,"Нижегородская область, Дзержинск"
Труба металическая,7000,https://www.avito.ru/bashkortostan_blagoveschensk/remont_i_stroitelstvo/truba_metalicheskaya_3610067605,"Продаётся металическая труба диаметр 700, толщина стенки 8мм, длина 5 метров, подойдёт для печей банных, горизонтальная, вертикальная, под дорогу, под ёмкость под воду и тд, за метр 7тыс, самовывоз, возможна доставка.",0,сегодня в 11:38,Частное лицо,"Республика Башкортостан, Благовещенский р-н, Благовещенск"
Калитки из профильной трубы,20000,https://www.avito.ru/orel/remont_i_stroitelstvo/kalitki_iz_profilnoy_truby_2007678645,"2 калитки. Размеры 0.94х2.13 поверху 2.46. 1.20х1.78 п. Верху 2.23. Проф труба 80х80,. Калитки 40х60. Середина- металл. 9 и 7 т. Р соответственно.",657,сегодня в 11:51,Частное лицо,"Орловская область, Орёл"
"Швеллер,труба,рельсы",50,https://www.avito.ru/zelenodolsk/remont_i_stroitelstvo/shvellertrubarelsy_2460082564,"Разных размеров, бу труба д-530*1,-530*1,1.",2529,сегодня в 11:47,Частное лицо,"Республика Татарстан, Зеленодольский р-н, Зеленодольск"
Отдам трубы железо,0,https://www.avito.ru/angarsk/remont_i_stroitelstvo/otdam_truby_zhelezo_3906574862,Трубы б/у металл.,0,сегодня в 11:58,Частное лицо,"Иркутская область, Ангарский г.о., Ангарск"
"Уголок, трубы, швеллер, проф.труба",50,https://www.avito.ru/krasnodar/remont_i_stroitelstvo/ugolok_truby_shveller_prof.truba_3504265322,"Продам новый металл, уголки, трубы, швеллер, проф. Труба, проф. Лист. Есть б/у, есть новый. Цена 40р. Кг.",2078,сегодня в 08:12,Частное лицо,"Краснодарский край, муниципальное образование Краснодар, пос. Индустриальный"
Столбы для забора,500,https://www.avito.ru/vologda/remont_i_stroitelstvo/stolby_dlya_zabora_3319829760,Столбы для забора ( труба толстостенная) в наличии50 Шт.,3354,сегодня в 08:11,Частное лицо,"Вологодская область, Вологда"
