Название,Цена,Ссылка,Описание,Просмотров,Дата публикации,Продавец,Адрес
Труба металлическая бу под заезд,30,https://www.avito.ru/komsomolsk-na-amure/remont_i_stroitelstvo/truba_metallicheskaya_bu_pod_zaezd_3013796319,"Длина 3,6м., диаметр 530мм., есть ещё 1,6м., диаметром 620мм., цена 30р. Кг.",384,сегодня в 04:58,Частное лицо,"Хабаровский край, Комсомольск-на-Амуре"
Трубы бу 1020*10-11,48000,https://www.avito.ru/irkutsk/remont_i_stroitelstvo/truby_bu_102010-11_2194051774,"Труба стальная бу, работаем по безналу с ндс(55000р/тн).",313,сегодня в 04:55,Частное лицо,"Иркутская область, Иркутск"
Труба 820х9,58000,https://www.avito.ru/chelyabinsk/remont_i_stroitelstvo/truba_820h9_3290454677,"Труба стальная 820х9, пш, 25тн — 58 000 с ндс. Труба отличного качества. Лежит 60км от Челябинска. Фото реальные.",7,сегодня в 00:30,Частное лицо,"Челябинская область, Челябинск"
Труба металлическая 630,10000,https://www.avito.ru/atamanovka/remont_i_stroitelstvo/truba_metallicheskaya_630_2369738571,Труба 630 толщина 8мм длинна 2.10метра осталась одна штука отлично подойдёт для изготовления банной печи.,204,вчера в 23:06,Частное лицо,"Забайкальский край, Читинский р-н, пос. городского типа Атамановка"
Труба металлическая,1,https://www.avito.ru/balashov/remont_i_stroitelstvo/truba_metallicheskaya_3196648772,Диаметр 530мм длина24м. Продается целая труба.,305,вчера в 22:39,Частное лицо,"Саратовская область, Балашовский р-н, муниципальное образование город Балашов, Балашов"
"Труба 108, 159,219,273,325",45000,https://www.avito.ru/labytnangi/remont_i_stroitelstvo/truba_108_159219273325_2140141051,"Труба б. У. 108, 159,219,273,325 есть разные размеры как по длине так и по толщине стенки.",2962,вчера в 22:26,Частное лицо,"Тюменская область, Лабытнанги"
Труба металлическая для заезда,13000,https://www.avito.ru/kotlas/remont_i_stroitelstvo/truba_metallicheskaya_dlya_zaezda_3109249474,"Продам трубу для заезда на участок. Длина 6300, диаметр 280. Самовывоз. Вопросы в личных сообщениях или по телефону. Реальному покупателю торг.",307,сегодня в 12:17,Частное лицо,"Архангельская область, Котлас"
Труба стальная бу 325х10,4700,https://www.avito.ru/irkutsk/remont_i_stroitelstvo/truba_stalnaya_bu_325h10_2551000308,"Продаётся труба стальная 325х10-12 мм, длина 4-5 м в ассортименте. Цена за 1 метр.",573,сегодня в 10:16,Частное лицо,"Иркутская область, Иркутск"
Труба 530 бу,2500,https://www.avito.ru/sayanogorsk/remont_i_stroitelstvo/truba_530_bu_3402882154,Труба 530×6. Длина 1320мм. Была как заготовка под банную печь.,0,сегодня в 10:15,Частное лицо,"Республика Хакасия, Саяногорск"
"Труба 1420х25,8 Лежак",87000,https://www.avito.ru/krasnoyarsk/remont_i_stroitelstvo/truba_1420h258_lezhak_2862417338,"Труба 1420х25,8 Лежак в наличии 6 Труб.",79,сегодня в 09:22,Частное лицо,"Красноярский край, Красноярск"
Труба 820х8 Б/У,57000,https://www.avito.ru/krasnoyarsk/remont_i_stroitelstvo/truba_820h8_bu_3213717407,"Труба 820*8 б/у, из под воды. Труба длинная, хорошего качества.",-,-,no,"Красноярский край, Красноярск"
Труба б/у,40000,https://www.avito.ru/habarovsk/remont_i_stroitelstvo/truba_bu_3291791214,Продам железные трубы б/у: Диаметр 273мм толщина 6мм 15шт по 12.1метра диаметр 325 толщина 5мм 7шт 8метров 40т. Р. /тонна.,83,сегодня в 04:51,Частное лицо,"Хабаровский край, Хабаровский р-н, с. Краснореченское"
Продам железную трубу 426,30000,https://www.avito.ru/amurskaya_oblast_blagoveschensk/remont_i_stroitelstvo/prodam_zheleznuyu_trubu_426_3628369185,"Продаю трубу железную 426 размер, толщина стенки сантиметр, длина 6,5 метров.",0,сегодня в 04:37,Частное лицо,"Амурская область, Благовещенский муниципальный округ, с. Чигири"
Трубы металлические 1020 бу,50000,https://www.avito.ru/kuytun/remont_i_stroitelstvo/truby_metallicheskie_1020_bu_3590007346,"Диаметр трубы примерно 1 метр, длина примерно 10 метров. Раньше использовалась как водонапорная башня.",0,сегодня в 03:26,Частное лицо,"Иркутская область, Куйтунский р-н, рабочий пос. Куйтун"
"Труба металлическая бу, диаметр 530",35000,https://www.avito.ru/sergiev_posad/remont_i_stroitelstvo/truba_metallicheskaya_bu_diametr_530_3030104911,"Продам металлическую трубу. Состояние хорошее. Диаметр 530, длинна 5,70. Самовывоз.",194,вчера в 22:56,Частное лицо,"Московская область, Сергиево-Посадский г.о., Сергиев Посад"
Дренажная труба,4500,https://www.avito.ru/syktyvkar/remont_i_stroitelstvo/drenazhnaya_truba_862307978,"Трубы стальные хорошо подходят на заезд под дорогу. Толщина 9 мм диаметр от 530 до 1420! Любой размер доставка. Цена до конца мая так же есть экскаватор погрузчик для сопутствующих работ! Трубы длина любая до 12 метров, режем!",17743,вчера в 22:18,Частное лицо,"Республика Коми, Сыктывкар"
"Трубы для забора, металлопрокат",35,https://www.avito.ru/glazov/remont_i_stroitelstvo/truby_dlya_zabora_metalloprokat_3431625543,"Труба 426 стенка 10мм 326 стенка 8мм куски по 1-1.2 метра, цена 27р кг. Трубы маленькие 35р кг.",833,вчера в 21:57,Частное лицо,"Удмуртская Республика, Глазов"
Труба металлическая 1220 мм,85000,https://www.avito.ru/mozhga/remont_i_stroitelstvo/truba_metallicheskaya_1220_mm_2889671147,"Продам металлическую газовую трубу диаметром 1220 мм. 1 труба: длина 4,2 метра, стенка 12 мм. 2 труба: длинна 4,4 метра, стенка 15 мм. 85 т. ₽ за штуку, по всем вопросам звонить. Металлоконструкции, металлопрокат, трубопрокат.",218,вчера в 21:33,Частное лицо,"Удмуртская Республика, Можга"
Подогреватели трубы,4000,https://www.avito.ru/omsk/remont_i_stroitelstvo/podogrevateli_truby_3512409817?slocation=621540,"Подогреватели на 1020-2 шт. -6000р. Подогреватели на 720-2 шт. -4000. Также есть орбиты, центраторы.",19,вчера в 21:11,Частное лицо,"Омская область, Омск"
Трубы металлические,290,https://www.avito.ru/podolsk/remont_i_stroitelstvo/truby_metallicheskie_2757444575,"Металлические трубы б. У., разных диаметров. Подходят для возведения переездов на участок строительства или водоотведения. Металлические трубы, 1220*12 восстановленная, 820*9-10 восстановленная, 720*8-9 мехочищенная, 530*8 мехочищенная с фаской,530*8 восставленная, 1420*15.7 восстановленная. Самовывоз. Постоянное обновление склада. Цены и наличие уточняйте по телефону или в сообщениях.",693,вчера в 20:37,Частное лицо,"Московская область, Подольск"
Труба 530х8 бу 4500 за метр,4500,https://www.avito.ru/bashkortostan_blagoveschensk/remont_i_stroitelstvo/truba_530h8_bu_4500_za_metr_3272851946,"Труба 530мм, толщина 8мм, длина от 2м до 3.50м, на печи!",356,вчера в 20:21,Частное лицо,"Республика Башкортостан, Благовещенский р-н, городское поселение Благовещенск, Благовещенск"
Труба металлическая диаметр 530,7500,https://www.avito.ru/novocheboksarsk/remont_i_stroitelstvo/truba_metallicheskaya_diametr_530_3178081430,Труба б/у диаметром 530мм длина 1150мм.,179,вчера в 19:39,Частное лицо,"Чувашская Республика, Новочебоксарск"
Труба 325х8,8500,https://www.avito.ru/almetevsk/remont_i_stroitelstvo/truba_325h8_2857160410,Труба 325 4 метра в длину.,230,вчера в 19:22,Частное лицо,"Республика Татарстан, Альметьевский р-н, муниципальное образование город Альметьевск, Альметьевск"
Продаю трубы стальные 530х8-10 ; 630х10; 820х9,60,https://www.avito.ru/tuapse/remont_i_stroitelstvo/prodayu_truby_stalnye_530h8-10_630h10_820h9_2415362951?slocation=621540,"В продаже трубы стальные разных диаметров от 50 до1020. Наличие и стоимость лучше узнавать по звонку. Ассортимент всегда меняется. Так же есть Труба. 57х3,5 новая 100 п/м. 114х6 новая 100 п/м. 133х6 новая 150 п/м. 219х6 б/у — 80 п/м. 325х6 новая крашеная — 45 п/м. 426х7 новая 20 п/м. 530х8- 100 п/м. 630х10- 100п/м. И Много Другого…. Цена договорная!",4458,вчера в 18:57,Частное лицо,"Краснодарский край, Туапсе"
Трубы металлические бу,1800,https://www.avito.ru/hasavyurt/remont_i_stroitelstvo/truby_metallicheskie_bu_3368433397,Трубы б /у 325х4-5 с/ш из под воды длина трубы 11-11.50 метров порезаны по стыкам цена за один метр.,148,вчера в 17:56,Частное лицо,"Республика Дагестан, Хасавюрт"
Труба 720:9-10мм,45000,https://www.avito.ru/surgut/remont_i_stroitelstvo/truba_7209-10mm_3347710556,Продам трубу 720:9-10мм — 32т нзрт восстановка под лежак.,99,вчера в 17:53,Частное лицо,"Тюменская область, Сургут"
Трубы 530,65000,https://www.avito.ru/kineshma/remont_i_stroitelstvo/truby_530_2919772093,"Две трубы по 7,5 метра, 530мм диаметр, стенка 8мм.",254,вчера в 16:26,Частное лицо,пл. Революции
